station,temp_diff,lat,lon
1,1.396381013183312,41.65385782771529,-0.8762584411019845
2,1.3208737668065005,41.649671495183284,-0.8848547529188722
3,1.0699000349224423,41.66026936459848,-0.8716983771368628
4,1.1150540204296888,41.6460832879269,-0.9002917531183346
5,1.6332243102847612,41.65050778737983,-0.9049374051902781
6,1.2396951885042626,41.660805673333115,-0.9044011411914769
7,0.5048289298499787,41.66874763459151,-0.9131217444768837
8,1.0764942378209934,41.67676631433166,-0.8891352863981845
9,1.1484866271769276,41.64105243127356,-0.8631685778273825
10,1.0495155240528773,41.63346937025053,-0.8821917523182508
11,0.6531637825823704,41.634344702300446,-0.8960014370988564
12,1.1184658742645266,41.6517029997013,-0.9274207569979358
13,1.0743357233282396,41.63925273463477,-0.9424645939808739
14,0.793172226951428,41.621069458508344,-0.9347764600002753
15,0.782764165357225,41.620535697239,-0.8768892738929818
16,0.5234250009198131,41.64816742996207,-0.8217665832266002
17,0.901622861009399,41.67687301712392,-0.8564575555402794
18,0.7569983139079497,41.692922218096314,-0.8662501527537109
20,0.13143536100939907,41.619012070652786,-0.8998956924931766
21,0.9619480421688194,41.6350774225189,-0.8579681689785305
