date,time,station,temp_diff,lat,lon
2023-06-01,00:00:00,1,3.256999999999998,41.65385782771529,-0.8762584411019845
2023-06-01,00:00:00,2,2.4869999999999983,41.649671495183284,-0.8848547529188722
2023-06-01,00:00:00,3,2.0969999999999978,41.66026936459848,-0.8716983771368628
2023-06-01,00:00:00,4,2.4019999999999975,41.6460832879269,-0.9002917531183346
2023-06-01,00:00:00,5,2.4869999999999983,41.65050778737983,-0.9049374051902781
2023-06-01,00:00:00,6,2.497,41.660805673333115,-0.9044011411914769
2023-06-01,00:00:00,7,0.9510000000000005,41.66874763459151,-0.9131217444768837
2023-06-01,00:00:00,8,2.2590000000000003,41.67676631433166,-0.8891352863981845
2023-06-01,00:00:00,9,1.4499999999999993,41.64105243127356,-0.8631685778273825
2023-06-01,00:00:00,10,1.663999999999998,41.63346937025053,-0.8821917523182508
2023-06-01,00:00:00,11,1.666999999999998,41.634344702300446,-0.8960014370988564
2023-06-01,00:00:00,12,2.163999999999998,41.6517029997013,-0.9274207569979358
2023-06-01,00:00:00,13,1.593,41.63925273463477,-0.9424645939808739
2023-06-01,00:00:00,14,1.568999999999999,41.621069458508344,-0.9347764600002753
2023-06-01,00:00:00,15,1.972999999999999,41.620535697239,-0.8768892738929818
2023-06-01,00:00:00,16,1.4969999999999999,41.64816742996207,-0.8217665832266002
2023-06-01,00:00:00,17,1.8069999999999986,41.67687301712392,-0.8564575555402794
2023-06-01,00:00:00,18,0.8559999999999981,41.692922218096314,-0.8662501527537109
2023-06-01,00:00:00,19,0.0,41.595974765774855,-0.9486146786341302
2023-06-01,00:00:00,20,1.0670000000000002,41.619012070652786,-0.8998956924931766
2023-06-01,00:00:00,21,1.4740000000000002,41.6350774225189,-0.8579681689785305
2023-06-01,01:00:00,1,3.274000000000001,41.65385782771529,-0.8762584411019845
2023-06-01,01:00:00,2,2.804000000000002,41.649671495183284,-0.8848547529188722
2023-06-01,01:00:00,3,1.4740000000000002,41.66026936459848,-0.8716983771368628
2023-06-01,01:00:00,4,2.7590000000000003,41.6460832879269,-0.9002917531183346
2023-06-01,01:00:00,5,2.934000000000001,41.65050778737983,-0.9049374051902781
2023-06-01,01:00:00,6,2.974,41.660805673333115,-0.9044011411914769
2023-06-01,01:00:00,7,1.379999999999999,41.66874763459151,-0.9131217444768837
2023-06-01,01:00:00,8,2.522000000000002,41.67676631433166,-0.8891352863981845
2023-06-01,01:00:00,9,1.4990000000000023,41.64105243127356,-0.8631685778273825
2023-06-01,01:00:00,10,2.0459999999999994,41.63346937025053,-0.8821917523182508
2023-06-01,01:00:00,11,1.693999999999999,41.634344702300446,-0.8960014370988564
2023-06-01,01:00:00,12,2.6880000000000024,41.6517029997013,-0.9274207569979358
2023-06-01,01:00:00,13,2.283999999999999,41.63925273463477,-0.9424645939808739
2023-06-01,01:00:00,14,1.5700000000000003,41.621069458508344,-0.9347764600002753
2023-06-01,01:00:00,15,2.3790000000000013,41.620535697239,-0.8768892738929818
2023-06-01,01:00:00,16,2.1640000000000015,41.64816742996207,-0.8217665832266002
2023-06-01,01:00:00,17,1.0710000000000015,41.67687301712392,-0.8564575555402794
2023-06-01,01:00:00,18,0.4759999999999991,41.692922218096314,-0.8662501527537109
2023-06-01,01:00:00,19,0.0,41.595974765774855,-0.9486146786341302
2023-06-01,01:00:00,20,1.3440000000000012,41.619012070652786,-0.8998956924931766
2023-06-01,01:00:00,21,1.4280000000000008,41.6350774225189,-0.8579681689785305
2023-06-01,02:00:00,1,2.2989999999999995,41.65385782771529,-0.8762584411019845
2023-06-01,02:00:00,2,1.8689999999999998,41.649671495183284,-0.8848547529188722
2023-06-01,02:00:00,3,0.9690000000000012,41.66026936459848,-0.8716983771368628
2023-06-01,02:00:00,4,2.283999999999999,41.6460832879269,-0.9002917531183346
2023-06-01,02:00:00,5,2.5189999999999984,41.65050778737983,-0.9049374051902781
2023-06-01,02:00:00,6,2.521000000000001,41.660805673333115,-0.9044011411914769
2023-06-01,02:00:00,7,0.8329999999999984,41.66874763459151,-0.9131217444768837
2023-06-01,02:00:00,8,1.8789999999999978,41.67676631433166,-0.8891352863981845
2023-06-01,02:00:00,9,1.355999999999998,41.64105243127356,-0.8631685778273825
2023-06-01,02:00:00,10,1.6419999999999995,41.63346937025053,-0.8821917523182508
2023-06-01,02:00:00,11,1.698999999999998,41.634344702300446,-0.8960014370988564
2023-06-01,02:00:00,12,1.9029999999999987,41.6517029997013,-0.9274207569979358
2023-06-01,02:00:00,13,1.5229999999999997,41.63925273463477,-0.9424645939808739
2023-06-01,02:00:00,14,1.6649999999999991,41.621069458508344,-0.9347764600002753
2023-06-01,02:00:00,15,1.4280000000000008,41.620535697239,-0.8768892738929818
2023-06-01,02:00:00,16,1.4890000000000008,41.64816742996207,-0.8217665832266002
2023-06-01,02:00:00,17,1.1899999999999977,41.67687301712392,-0.8564575555402794
2023-06-01,02:00:00,18,0.570999999999998,41.692922218096314,-0.8662501527537109
2023-06-01,02:00:00,19,0.0,41.595974765774855,-0.9486146786341302
2023-06-01,02:00:00,20,1.2289999999999992,41.619012070652786,-0.8998956924931766
2023-06-01,02:00:00,21,1.0949999999999989,41.6350774225189,-0.8579681689785305
2023-06-01,03:00:00,1,1.615000000000002,41.65385782771529,-0.8762584411019845
2023-06-01,03:00:00,2,1.2250000000000014,41.649671495183284,-0.8848547529188722
2023-06-01,03:00:00,3,0.41499999999999915,41.66026936459848,-0.8716983771368628
2023-06-01,03:00:00,4,1.404,41.6460832879269,-0.9002917531183346
