device_id,module_id,lon,lat
70:ee:50:7a:8d:66,02:00:00:7a:82:20,-0.7481712,41.636124
70:ee:50:3f:63:68,02:00:00:3e:e0:04,-0.833446027880559,41.6716431569669
70:ee:50:3f:18:7e,02:00:00:3c:ec:c0,-0.774684,41.6856299
70:ee:50:2b:58:c2,02:00:00:2a:db:82,-0.80385139106744,41.7125558277646
70:ee:50:36:cf:1c,02:00:00:37:03:a4,-0.797466,41.743163
70:ee:50:28:9c:ec,02:00:00:33:d2:f8,-0.63626,41.7494057
70:ee:50:5e:df:26,02:00:00:58:f3:0a,-0.635689172777726,41.748542877694
70:ee:50:73:ce:d0,02:00:00:73:99:cc,-0.815813999999937,41.8026500504632
70:ee:50:53:34:be,02:00:00:52:e2:16,-0.636708,41.514423
70:ee:50:28:b2:92,02:00:00:28:91:6e,-0.6855084,41.593703
70:ee:50:74:50:56,02:00:00:74:55:52,-0.6810684271541,41.5967291608973
70:ee:50:01:cf:12,02:00:00:01:c5:f0,-0.938231680704945,41.6256525068656
70:ee:50:33:41:7a,02:00:00:33:2e:64,-0.934386,41.62555
70:ee:50:05:61:46,02:00:00:05:85:a8,-0.934771,41.630554
70:ee:50:19:9f:dc,02:00:00:31:d2:d2,-0.932129,41.621788
70:ee:50:7a:8f:60,02:00:00:7a:a0:b4,-0.889455,41.630196
70:ee:50:73:c5:a8,02:00:00:73:ad:5e,-0.871355679066833,41.6158458173793
70:ee:50:64:ff:ee,02:00:00:65:1d:a6,-0.871589183807373,41.6200863645341
70:ee:50:52:d9:cc,02:00:00:52:df:72,-0.946290419792035,41.6337626057142
70:ee:50:17:d3:1a,02:00:00:17:db:12,-0.947013100000049,41.6390153
70:ee:50:33:41:34,02:00:00:33:1b:8a,-0.943621799999968,41.6335784
70:ee:50:20:d1:2c,02:00:00:20:d7:92,-0.9332783,41.6317
70:ee:50:17:c7:ee,02:00:00:63:2c:66,-0.931522,41.638844
70:ee:50:7a:74:da,02:00:00:7a:82:0a,-0.9280085,41.6413
70:ee:50:58:98:7c,02:00:00:58:8f:9e,-0.909272,41.635381
70:ee:50:b5:30:5a,02:00:00:b5:33:de,-0.9078686,41.6351648
70:ee:50:37:00:ca,02:00:00:37:1d:6c,-0.9086631,41.6359352
70:ee:50:71:22:16,02:00:00:71:38:d0,-0.884066398894271,41.6331953354241
70:ee:50:74:0d:90,02:00:00:74:1b:e8,-0.8875092,41.643394
70:ee:50:7a:97:cc,02:00:00:ab:e9:d4,-0.8878751,41.64522
70:ee:50:6b:2a:9a,02:00:00:6b:37:90,-0.8633761,41.639328
70:ee:50:3d:26:c8,02:00:00:3b:e5:82,-0.936522264562228,41.6555403614726
70:ee:50:1c:43:78,02:00:00:83:8d:aa,-0.9359335,41.65846
70:ee:50:02:bf:4c,02:00:00:01:9d:34,-0.935699,41.658155
70:ee:50:33:42:f4,02:00:00:33:31:e4,-0.913035,41.657622
70:ee:50:af:4f:f6,02:00:00:af:9a:60,-0.907562,41.655737
70:ee:50:a2:0b:54,02:00:00:a2:0b:56,-0.899263322353363,41.658130645752
70:ee:50:5f:56:10,02:00:00:5f:10:e4,-0.889297,41.649677
70:ee:50:2b:4a:4a,02:00:00:2b:2e:5e,-0.881870400000025,41.6504532
70:ee:50:37:11:4c,02:00:00:70:21:00,-0.881745609136942,41.6546236673194
70:ee:50:65:6b:86,02:00:00:65:6c:08,-0.8629731,41.65496
70:ee:50:65:86:d2,02:00:00:65:49:64,-0.866986513137817,41.6633144206065
70:ee:50:04:d3:de,02:00:00:04:cb:66,-0.864463000000012,41.663082
70:ee:50:3b:f5:64,02:00:00:3c:1e:72,-0.966548,41.679877
70:ee:50:3c:ee:4c,02:00:00:3c:e0:d6,-0.931450724601746,41.6675342465906
70:ee:50:65:89:f2,02:00:00:65:45:d8,-0.8942116,41.670042
70:ee:50:04:b4:36,02:00:00:06:6c:1a,-0.892489,41.677088
70:ee:50:7a:ae:b2,02:00:00:7a:90:b8,-0.8885372,41.670464
70:ee:50:28:e2:26,02:00:00:63:31:4a,-0.885998876746612,41.6685753085039
70:ee:50:01:60:78,02:00:00:01:37:9e,-0.8885126,41.6760943
70:ee:50:71:35:d2,02:00:00:71:2a:d4,-0.855649590492249,41.6673126220703
70:ee:50:12:f0:f6,02:00:00:13:2c:26,-1.033325,41.708142
70:ee:50:90:dd:7a,02:00:00:90:e2:da,-0.995778,41.715121
70:ee:50:3f:68:bc,02:00:00:3f:31:b2,-1.02765370324552,41.7202075763903
70:ee:50:04:ac:ea,02:00:00:04:9f:92,-1.031,41.7253
70:ee:50:5f:09:04,02:00:00:5f:52:68,-1.031,41.7253
70:ee:50:af:44:c2,02:00:00:af:84:f6,-1.10338091850281,41.7365837097168
70:ee:50:a2:07:2e,02:00:00:a2:35:88,-1.10316574573517,41.7364509416909
70:ee:50:7a:6f:c6,02:00:00:7a:97:0c,-1.0998108,41.73692
70:ee:50:3b:e9:d4,02:00:00:3c:0f:66,-1.1168407201767,41.7658309936523
70:ee:50:71:59:f2,02:00:00:71:33:28,-1.115511,41.768144
70:ee:50:3d:23:92,02:00:00:3b:ec:0c,-1.001864,41.540368
70:ee:50:2f:25:74,02:00:00:31:e6:08,-0.954287,41.577383
70:ee:50:90:e1:86,02:00:00:90:ed:aa,-0.943607,41.573079
70:ee:50:71:15:80,02:00:00:71:5b:82,-1.12062036,41.58463401
70:ee:50:28:e1:6e,02:00:00:2b:27:92,-0.953482557568813,41.5808036996936
70:ee:50:5e:da:62,02:00:00:b2:bf:da,-0.952519999999982,41.582089
70:ee:50:84:81:46,02:00:00:84:65:ca,-0.952519999999982,41.582089
70:ee:50:7a:d1:ce,02:00:00:7a:fc:6e,-0.93134,41.589924
70:ee:50:74:29:4c,02:00:00:74:0e:e0,-0.92752232686743,41.5905763350935
